City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Isangel,VU,78.91,Clouds,-19.55,169.2667,Tanna Lodge
7,Hithadhoo,MV,82.62,Clouds,-0.6,73.0833,Scoop Guest House
8,Bambous Virieux,MU,81.21,Clouds,-20.3428,57.7575,Casa Tia Villa
9,Tucano,BR,71.96,Clouds,-10.9631,-38.7867,Pousada Pé De Arruda
14,Esperance,AU,76.84,Clouds,-33.8667,121.9,Hospitality Esperance
27,Port Alfred,ZA,76.55,Clouds,-33.5906,26.891,The Halyards Hotel
29,Biak,ID,85.51,Clouds,-0.9131,122.8766,Penginapan Kim
31,Touros,BR,76.1,Clouds,-5.1989,-35.4608,INN NEW HORIZON
39,Tecoanapa,MX,76.73,Clouds,16.5167,-98.75,Hotel Manglares
40,Hobart,AU,81.01,Clouds,-42.8794,147.3294,Mantra on Collins Hobart
41,Richards Bay,ZA,73.36,Rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
42,Lorengau,PG,84.38,Clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
43,Rikitea,PF,78.98,Clear,-23.1203,-134.9692,People ThankYou
44,Pawai,IN,72.59,Clear,24.2667,80.1667,parth Palace Pawai
47,Calabozo,VE,81.63,Clouds,8.9242,-67.4293,Hotel Giardini
50,Vao,NC,81.32,Clouds,-22.6667,167.4833,Hotel Kou-Bugny
51,Vaini,TO,75.36,Rain,-21.2,-175.2,Keleti Beach Resort
56,Bathsheba,BB,75.81,Clouds,13.2167,-59.5167,Atlantis Hotel
58,Kapaa,US,78.78,Clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Nelson Bay,AU,77.29,Clouds,-32.7167,152.15,Mantra Nelson Bay
64,Atuona,PF,78.85,Clouds,-9.8,-139.0333,Villa Enata
65,Puerto Ayora,EC,73.54,Clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
66,Puerto Cabello,VE,76.08,Clouds,10.4731,-68.0125,Hotel Cumboto
70,Butaritari,KI,81.79,Rain,3.0707,172.7902,Isles Sunset Lodge
74,Saint-Georges,GD,80.28,Clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
76,Avarua,CK,78.85,Clouds,-21.2078,-159.775,Paradise Inn
78,Bengkulu,ID,84.24,Rain,-3.8004,102.2655,Grage Hotel Bengkulu
79,La Primavera,CO,81.91,Clouds,5.4906,-70.4092,La Riviera Hotel Colonial
85,Ahipara,NZ,75.24,Clouds,-35.1667,173.1667,Ahipara Holiday Park
86,New Norfolk,AU,80.65,Clear,-42.7826,147.0587,The Shingles Riverside Cottages
90,Kawalu,ID,79.77,Rain,-7.3817,108.2082,KOSAN UNGU UNSIK
92,Vila Velha,BR,78.75,Clouds,-20.3297,-40.2925,Quality Suites Vila Velha
95,Kahului,US,75.22,Clear,20.8947,-156.47,Maui Seaside Hotel
96,Port Hedland,AU,82.45,Rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
98,Palauig,PH,84.69,Clouds,15.435,119.9045,Alperi Botique Resort
103,Itanhaem,BR,79.25,Clouds,-24.1831,-46.7889,Prainha Residência Artística
106,Sidney,AU,74.32,Rain,-33.8679,151.2073,The Grace Sydney
111,Bartica,GY,75.52,Clouds,6.4,-58.6167,Sloth Island Nature Resort
113,Grand-Santi,GF,72.1,Clouds,4.25,-54.3833,Hotel La Villa Couacou
119,Caravelas,BR,74.91,Clouds,-17.7125,-39.2481,Pousada dos Navegantes
125,Alyangula,AU,87.67,Clouds,-13.8483,136.4192,Groote Eylandt Lodge
127,Kattivakkam,IN,85.06,Clouds,13.2167,80.3167,Euronova Freezer
140,Dingle,PH,84.56,Clouds,10.9995,122.6711,SEGAYA PROPERTY
143,Souillac,MU,81.36,Clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
144,Mareeba,AU,84.43,Clouds,-17.0,145.4333,Trinity Plains Tourist Park
148,Padang,ID,86.05,Rain,-0.9492,100.3543,Mercure Padang
150,Kavieng,PG,83.89,Clouds,-2.5744,150.7967,Nusa Island Retreat
153,Emerald,AU,86.14,Clouds,-23.5333,148.1667,The Irish Village
157,Te Anau,NZ,71.38,Clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
159,Saint-Philippe,RE,81.99,Clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
163,Pizarro,CO,76.1,Rain,4.9533,-77.366,Hotel Limonar
166,Vanimo,PG,83.14,Clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
167,Kaohsiung,TW,71.69,Clouds,22.6163,120.3133,御宿商旅-中山館
171,Port Blair,IN,82.44,Clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
174,Itarema,BR,76.95,Clear,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
177,Saiha,IN,72.41,Clear,22.4833,92.9667,"Circuit House, Siaha"
180,Georgetown,MY,88.9,Clouds,5.4112,100.3354,Cititel Penang
