City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Cidreira,-30.1811,-50.2056,66.85,74,9,8.61,BR,2022-02-07 04:49:48,Clear
1,Sisimiut,66.9395,-53.6735,3.72,94,100,20.04,GL,2022-02-07 04:46:14,Snow
2,Soddy-Daisy,35.2359,-85.1908,33.53,87,0,3.2,US,2022-02-07 04:49:49,Clear
3,Bam,29.106,58.357,52.72,29,6,2.84,IR,2022-02-07 04:46:31,Clear
4,Isangel,-19.55,169.2667,78.91,94,100,13.8,VU,2022-02-07 04:49:50,Clouds
5,Khatanga,71.9667,102.5,-18.33,98,100,9.69,RU,2022-02-07 04:49:51,Clouds
6,Nikolskoye,59.7035,30.7861,35.87,97,100,7.16,RU,2022-02-07 04:49:51,Snow
7,Hithadhoo,-0.6,73.0833,82.62,67,23,14.25,MV,2022-02-07 04:49:52,Clouds
8,Bambous Virieux,-20.3428,57.7575,81.21,78,100,10.87,MU,2022-02-07 04:49:53,Clouds
9,Tucano,-10.9631,-38.7867,71.96,93,78,4.47,BR,2022-02-07 04:49:54,Clouds
10,Punta Arenas,-53.15,-70.9167,53.71,82,75,8.05,CL,2022-02-07 04:49:54,Clouds
11,Ondo,7.1,4.8333,67.32,98,11,0.58,NG,2022-02-07 04:49:55,Clouds
12,Necochea,-38.5473,-58.7368,58.03,79,41,9.26,AR,2022-02-07 04:49:55,Clouds
13,Bredasdorp,-34.5322,20.0403,66.27,88,11,5.75,ZA,2022-02-07 04:49:56,Clouds
14,Esperance,-33.8667,121.9,76.84,44,11,23.29,AU,2022-02-07 04:49:56,Clouds
15,Araouane,18.9048,-3.5265,61.47,14,0,9.22,ML,2022-02-07 04:49:57,Clear
16,Pevek,69.7008,170.3133,-24.29,99,22,1.68,RU,2022-02-07 04:49:57,Clouds
17,Albany,42.6001,-73.9662,19.81,79,14,2.62,US,2022-02-07 04:49:58,Clouds
18,Bluff,-46.6,168.3333,60.8,68,0,14.41,NZ,2022-02-07 04:49:58,Clear
19,Cabo San Lucas,22.8909,-109.9124,63.95,67,0,5.12,MX,2022-02-07 04:45:03,Clear
20,Xushan,30.1764,121.2457,42.73,95,100,12.3,CN,2022-02-07 04:49:59,Rain
21,Xuanhua,40.6103,115.0447,26.98,29,100,5.21,CN,2022-02-07 04:49:59,Clouds
22,Upernavik,72.7868,-56.1549,-14.57,100,100,6.91,GL,2022-02-07 04:50:00,Clouds
23,Airai,-8.9266,125.4092,71.83,74,57,2.55,TL,2022-02-07 04:50:00,Clouds
24,Mataura,-46.1927,168.8643,60.48,45,5,5.14,NZ,2022-02-07 04:50:01,Clear
25,Severo-Kurilsk,50.6789,156.125,31.01,81,100,9.55,RU,2022-02-07 04:50:02,Clouds
26,San Patricio,28.017,-97.5169,55.81,83,100,9.01,US,2022-02-07 04:50:02,Clouds
27,Port Alfred,-33.5906,26.891,76.55,70,56,1.61,ZA,2022-02-07 04:50:02,Clouds
28,Barrow,71.2906,-156.7887,-27.38,68,0,12.66,US,2022-02-07 04:40:48,Clear
29,Biak,-0.9131,122.8766,85.51,62,90,2.44,ID,2022-02-07 04:50:03,Clouds
30,Sistranda,63.7256,8.834,40.96,66,99,21.34,NO,2022-02-07 04:50:04,Rain
31,Touros,-5.1989,-35.4608,76.1,78,13,8.3,BR,2022-02-07 04:50:04,Clouds
32,Matamoros,25.5333,-103.25,55.11,61,69,3.67,MX,2022-02-07 04:50:05,Clouds
33,Cape Town,-33.9258,18.4232,65.26,88,75,1.99,ZA,2022-02-07 04:48:37,Clouds
34,Lata,40.1629,-8.3327,45.05,55,57,4.18,PT,2022-02-07 04:47:03,Clouds
35,Coos Bay,43.3665,-124.2179,49.01,98,20,3.44,US,2022-02-07 04:50:06,Mist
36,Moreira Sales,-24.0622,-53.0069,62.89,70,8,7.07,BR,2022-02-07 04:50:06,Clear
37,Alice Springs,-23.7,133.8833,90.95,24,0,4.61,AU,2022-02-07 04:50:07,Clear
38,Laguna,38.421,-121.4238,56.32,76,0,0.0,US,2022-02-07 04:50:07,Clear
39,Tecoanapa,16.5167,-98.75,76.73,77,23,5.08,MX,2022-02-07 04:50:08,Clouds
40,Hobart,-42.8794,147.3294,81.01,43,20,9.22,AU,2022-02-07 04:50:08,Clouds
41,Richards Bay,-28.783,32.0377,73.36,88,84,2.53,ZA,2022-02-07 04:50:09,Rain
42,Lorengau,-2.0226,147.2712,84.38,72,98,7.45,PG,2022-02-07 04:50:09,Clouds
43,Rikitea,-23.1203,-134.9692,78.98,72,10,17.98,PF,2022-02-07 04:50:10,Clear
44,Pawai,24.2667,80.1667,72.59,20,0,4.36,IN,2022-02-07 04:50:10,Clear
45,Sitka,57.0531,-135.33,44.49,76,100,13.8,US,2022-02-07 04:51:11,Clouds
46,Jieshi,22.8134,115.8257,59.95,83,100,13.53,CN,2022-02-07 04:51:11,Clouds
