City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mora,11.0461,14.1401,63.03,31,6,5.41,CM,2022-02-01 21:14:35
1,Komsomolskiy,40.4272,71.7189,31.42,53,100,3.27,UZ,2022-02-01 21:14:36
2,Ushuaia,-54.8,-68.3,42.46,87,75,43.73,AR,2022-02-01 21:12:42
3,Cidreira,-30.1811,-50.2056,74.32,67,8,9.28,BR,2022-02-01 21:14:36
4,Coihaique,-45.5752,-72.0662,67.95,40,75,8.05,CL,2022-02-01 21:14:37
5,Puerto Ayora,-0.7393,-90.3518,80.56,92,76,4.0,EC,2022-02-01 21:14:37
6,Korla,41.7597,86.1469,23.02,45,22,2.01,CN,2022-02-01 21:14:38
7,Sokoni,-6.4333,39.55,80.89,78,87,9.71,TZ,2022-02-01 21:14:39
8,Batagay-Alyta,67.8006,130.4114,-10.12,99,100,2.08,RU,2022-02-01 21:14:39
9,Jamestown,42.097,-79.2353,42.39,48,0,14.97,US,2022-02-01 21:12:45
10,Camacha,33.0833,-16.3333,63.54,88,20,17.27,PT,2022-02-01 21:14:40
11,Marapanim,-0.7175,-47.6997,77.05,90,95,6.64,BR,2022-02-01 21:11:13
12,Bengkulu,-3.8004,102.2655,73.81,85,100,5.91,ID,2022-02-01 21:14:41
13,Mgachi,51.05,142.2667,4.69,98,100,3.04,RU,2022-02-01 21:14:41
14,Alofi,-19.0595,-169.9187,84.09,65,40,4.61,NU,2022-02-01 21:14:42
15,Kudahuvadhoo,2.6708,72.8944,82.71,77,17,15.35,MV,2022-02-01 21:09:45
16,Avarua,-21.2078,-159.775,82.45,78,20,11.5,CK,2022-02-01 21:14:42
17,Thompson,55.7435,-97.8558,-12.68,85,68,11.79,CA,2022-02-01 21:11:22
18,Vaini,-21.2,-175.2,84.36,74,20,6.91,TO,2022-02-01 21:14:43
19,Hambantota,6.1241,81.1185,72.45,82,1,13.09,LK,2022-02-01 21:14:43
20,Hermanus,-34.4187,19.2345,69.91,84,24,2.26,ZA,2022-02-01 21:14:44
21,Sawai Madhopur,25.9833,76.3667,56.57,57,0,4.5,IN,2022-02-01 21:14:44
22,Talcahuano,-36.7167,-73.1167,64.08,72,0,13.8,CL,2022-02-01 21:14:45
23,Hobart,-42.8794,147.3294,55.26,57,20,3.0,AU,2022-02-01 21:14:45
24,Nome,64.5011,-165.4064,19.47,54,0,26.46,US,2022-02-01 21:14:46
25,Biak,-0.9131,122.8766,76.42,76,100,4.34,ID,2022-02-01 21:14:47
26,Abalak,58.1286,68.5944,7.72,97,85,5.53,RU,2022-02-01 21:14:47
27,Kaitangata,-46.2817,169.8464,63.39,88,100,4.54,NZ,2022-02-01 21:14:48
28,Punta Arenas,-53.15,-70.9167,51.91,50,20,37.98,CL,2022-02-01 21:14:48
29,Mataura,-46.1927,168.8643,72.48,66,100,6.82,NZ,2022-02-01 21:14:49
30,Talnakh,69.4865,88.3972,4.21,96,100,8.88,RU,2022-02-01 21:14:50
31,Faya,18.3851,42.4509,55.92,66,13,4.88,SA,2022-02-01 21:14:51
32,Sao Joao Da Barra,-21.6403,-41.0511,80.69,86,93,5.66,BR,2022-02-01 21:14:51
